id,Acer_Capillipes,Acer_Circinatum,Acer_Mono,Acer_Opalus,Acer_Palmatum,Acer_Pictum,Acer_Platanoids,Acer_Rubrum,Acer_Rufinerve,Acer_Saccharinum,Alnus_Cordata,Alnus_Maximowiczii,Alnus_Rubra,Alnus_Sieboldiana,Alnus_Viridis,Arundinaria_Simonii,Betula_Austrosinensis,Betula_Pendula,Callicarpa_Bodinieri,Castanea_Sativa,Celtis_Koraiensis,Cercis_Siliquastrum,Cornus_Chinensis,Cornus_Controversa,Cornus_Macrophylla,Cotinus_Coggygria,Crataegus_Monogyna,Cytisus_Battandieri,Eucalyptus_Glaucescens,Eucalyptus_Neglecta,Eucalyptus_Urnigera,Fagus_Sylvatica,Ginkgo_Biloba,Ilex_Aquifolium,Ilex_Cornuta,Liquidambar_Styraciflua,Liriodendron_Tulipifera,Lithocarpus_Cleistocarpus,Lithocarpus_Edulis,Magnolia_Heptapeta,Magnolia_Salicifolia,Morus_Nigra,Olea_Europaea,Phildelphus,Populus_Adenopoda,Populus_Grandidentata,Populus_Nigra,Prunus_Avium,Prunus_X_Shmittii,Pterocarya_Stenoptera,Quercus_Afares,Quercus_Agrifolia,Quercus_Alnifolia,Quercus_Brantii,Quercus_Canariensis,Quercus_Castaneifolia,Quercus_Cerris,Quercus_Chrysolepis,Quercus_Coccifera,Quercus_Coccinea,Quercus_Crassifolia,Quercus_Crassipes,Quercus_Dolicholepis,Quercus_Ellipsoidalis,Quercus_Greggii,Quercus_Hartwissiana,Quercus_Ilex,Quercus_Imbricaria,Quercus_Infectoria_sub,Quercus_Kewensis,Quercus_Nigra,Quercus_Palustris,Quercus_Phellos,Quercus_Phillyraeoides,Quercus_Pontica,Quercus_Pubescens,Quercus_Pyrenaica,Quercus_Rhysophylla,Quercus_Rubra,Quercus_Semecarpifolia,Quercus_Shumardii,Quercus_Suber,Quercus_Texana,Quercus_Trojana,Quercus_Variabilis,Quercus_Vulcanica,Quercus_x_Hispanica,Quercus_x_Turneri,Rhododendron_x_Russellianum,Salix_Fragilis,Salix_Intergra,Sorbus_Aria,Tilia_Oliveri,Tilia_Platyphyllos,Tilia_Tomentosa,Ulmus_Bergmanniana,Viburnum_Tinus,Viburnum_x_Rhytidophylloides,Zelkova_Serrata
4,1.56039028165e-09,6.79764862916e-09,4.96947766543e-12,2.38802069972e-07,6.43471276806e-09,3.7949139009e-09,5.02589129388e-12,1.47488476655e-10,1.08350254861e-09,1.27887376183e-07,1.76445527565e-05,4.0149396819e-12,2.92326738515e-09,8.31954436075e-10,1.31897206498e-08,2.05932398694e-10,5.49618998245e-07,1.85657840106e-11,3.29707444029e-09,1.3982232323e-11,1.48283422665e-07,8.26203197579e-09,5.70609434654e-08,3.0553786086e-11,1.89557592745e-11,3.94242032786e-10,1.79762882318e-05,8.26667708974e-08,7.37657700397e-09,3.43242426028e-10,1.73270328474e-15,3.81921316368e-06,3.75867918728e-07,6.98051675927e-07,7.51312369211e-10,1.67648471658e-08,3.47451823898e-10,6.31974503376e-14,1.17085351795e-09,4.15491946999e-11,3.52991431529e-13,7.33671099827e-08,1.48538312933e-08,7.03662390442e-12,1.24597354306e-07,7.51950910135e-09,3.07328063767e-05,2.09988178358e-14,2.13765775656e-12,1.73846972823e-08,3.68686084974e-07,0.999806024424,2.03624162026e-10,5.83437420815e-08,3.93143337775e-08,1.08958681102e-06,7.35525681432e-07,1.56886953635e-13,2.02856822694e-12,1.02037351135e-09,1.81184296647e-09,7.72638804431e-09,2.09891072228e-08,4.41528873816e-10,1.98574132486e-05,1.82213440211e-08,1.16928392762e-06,3.4567769656e-15,1.29473651541e-11,8.89035553266e-11,5.15479590701e-13,1.22779738155e-10,1.41940306227e-07,7.8886084974e-11,5.19553317748e-06,2.54851036654e-06,1.20267890628e-13,5.06901027704e-09,1.60352061857e-05,4.88841720788e-09,2.59000186782e-08,2.06160207862e-14,6.65544746919e-14,5.8304880189e-05,1.03348058294e-05,7.28677109236e-13,3.60780781284e-15,1.44937874601e-14,4.08731784824e-06,9.40180088972e-13,2.48958561136e-09,1.95690698736e-09,4.74206348513e-10,5.37894378043e-09,2.60698250836e-10,1.78679775277e-12,2.28858108519e-11,1.14735594251e-06,6.12177192534e-11
7,1.61299570771e-08,2.73138378833e-08,2.13941487828e-07,1.62769984079e-06,2.40226981193e-09,2.50688252021e-08,9.1853870012e-06,7.61995101242e-09,3.36777222706e-08,1.75520538915e-08,1.21873692763e-09,1.01014662005e-09,8.0561184084e-09,2.1080793482e-08,4.7692027218e-09,9.27073926947e-08,4.75082399434e-09,1.46313166388e-07,1.59197076716e-09,7.63785295211e-07,3.32952667367e-08,7.14741787297e-09,6.87391678569e-09,1.85625676365e-09,3.84854241853e-09,8.40650309976e-09,7.4542194705e-08,7.26277636254e-08,9.22856534628e-09,2.22420384706e-10,1.90159186208e-07,3.41304109807e-08,7.80122842064e-08,1.84054207632e-09,3.37822033564e-07,3.80117331833e-10,9.87005420933e-07,2.23545447117e-08,2.37592418259e-06,2.17202798338e-07,5.7068239291e-07,1.22747332695e-07,3.23927470897e-07,2.33923228917e-06,1.23047125781e-08,2.52368256829e-06,4.71393307839e-11,3.86483783695e-05,2.56248795832e-08,1.48273393562e-09,0.999908696084,1.15367121499e-08,9.76291556662e-09,2.56402284402e-07,3.69192568255e-07,2.07885389697e-07,1.54201395649e-09,5.58540293009e-07,1.02186645976e-06,9.24395161157e-07,5.10268450862e-07,1.038988215e-07,3.53773639751e-09,3.10835787737e-07,1.28604651846e-10,2.39605417485e-09,1.02542001301e-09,6.67165711952e-08,7.5946503498e-08,1.01362492757e-05,5.57308381894e-12,2.04598718257e-09,4.35508840362e-09,7.79238409646e-09,5.30822375739e-12,1.04420951215e-09,9.96532226926e-07,4.34277982345e-08,5.13899079924e-08,1.3879609082e-07,3.07118743653e-09,4.68867730655e-08,7.1450075165e-07,5.30414649288e-07,2.32501958152e-06,1.12954420101e-06,6.29681660837e-07,2.25299818994e-06,2.52602888708e-11,1.35635752227e-07,2.69407503117e-07,4.32504918412e-10,9.33821959556e-10,2.27106546929e-11,3.5169658698e-06,8.97724431529e-08,2.29861369756e-06,3.87676407667e-09,3.05524412156e-07
9,4.7406239491e-07,0.998221541763,3.30769959788e-08,4.40228814939e-06,0.00116144609464,1.52867722009e-06,4.21381733093e-07,4.55237155856e-06,2.57592492797e-05,2.91164410485e-05,1.27635829658e-07,6.13183354941e-05,2.90578480157e-07,1.75714174963e-07,1.90961295509e-06,2.47982075718e-07,0.000209109141041,3.85359620058e-07,3.28108109099e-08,6.49314718826e-06,8.29910907085e-08,1.05712766725e-06,4.68727717887e-09,8.40323510202e-09,1.4698185946e-10,4.91982495285e-06,3.67964110225e-05,1.77602281772e-09,2.38369112849e-07,6.1662954773e-09,2.44407403687e-10,3.49360055958e-07,4.11709349602e-06,4.28325742726e-06,4.40539221585e-09,1.48405126717e-05,2.2971268895e-07,3.56992510786e-09,9.3104446432e-09,4.48400909462e-08,4.26476311112e-08,1.37520104431e-06,2.03844469666e-08,1.46764041145e-09,7.15428712253e-07,1.93984249722e-08,4.56313629732e-09,1.81055103217e-07,1.71837924158e-07,1.0350389577e-06,2.2923528941e-08,3.80128400041e-08,1.25328014518e-07,8.88949690358e-08,5.38434477793e-07,2.7303531533e-07,1.37884153877e-06,3.46330583859e-09,1.32100601504e-09,3.15756438649e-08,1.11352097193e-06,3.01166057421e-09,3.22192616338e-07,8.54811071349e-07,1.44209423572e-07,1.41234171059e-07,2.33422761134e-07,2.97220350546e-10,2.86824552755e-11,4.24532200164e-07,1.14865412033e-08,7.71919753616e-07,5.16449821044e-08,1.34414026885e-05,3.02978572733e-07,1.93707191248e-07,5.71002422631e-10,6.39917289858e-08,2.00248580206e-06,1.10510666451e-07,3.19204496777e-08,3.05709884425e-10,1.34395645613e-10,1.12198395927e-06,3.06649966807e-06,6.18292649995e-06,1.90079188565e-09,2.21259999595e-08,1.37087683313e-08,8.11471172888e-07,2.1665880866e-08,1.28621952799e-07,1.84750015608e-07,1.46004905807e-07,6.17321292601e-07,2.61715369298e-06,2.46443044118e-08,8.61924314397e-08,0.000162299920375
12,8.52757041566e-10,3.88260105731e-05,2.83604108533e-09,6.80407928168e-09,4.46427651594e-09,1.52212803975e-09,3.01763072436e-06,1.78534517369e-07,3.23454369267e-06,1.27296576508e-06,8.33377612308e-10,6.19274098583e-07,1.20810135303e-06,0.000134413616434,3.79179308447e-08,5.19362791062e-07,9.075618355e-08,2.11383135427e-08,3.31511642439e-09,0.999565460783,5.32325336051e-09,3.02394054946e-10,3.63100151979e-08,2.61424716772e-12,2.09551631297e-10,1.44914805456e-09,3.17638664213e-07,1.72572492916e-10,1.12637290318e-10,2.03676794488e-12,1.75689471263e-11,8.98403589331e-10,6.70007264998e-08,1.26954517748e-09,2.58697964944e-11,7.05603897996e-09,1.88654907256e-07,2.09356119159e-06,7.31471168454e-11,1.32173549484e-08,2.24528874012e-09,2.1864856409e-05,2.44895326831e-10,4.02109815617e-09,1.12326911164e-08,2.18929344772e-08,8.99715020065e-12,0.000124543825885,8.24612696172e-07,1.47182715255e-10,6.66478378411e-08,9.76692879753e-12,1.90140417512e-09,1.53503576082e-09,2.49240886418e-08,7.80246585304e-08,3.11196420898e-11,5.04732537023e-08,1.29453233503e-08,1.13809626659e-09,6.37340046218e-08,6.13838478561e-11,1.63129212781e-08,1.15235263217e-06,3.10509137883e-11,3.09136202035e-08,2.30740614603e-10,4.999060744e-07,5.81705696847e-10,1.776716052e-09,2.78736475172e-10,6.81477110204e-09,8.72080689875e-11,2.98130619248e-09,1.4175993332e-10,4.69809494414e-10,6.8677714067e-08,1.64832378459e-06,8.45124360894e-08,2.53207129091e-09,1.10486372578e-07,1.85376461788e-11,1.39096517615e-06,1.06960965915e-09,3.02279897302e-08,1.29043505066e-06,4.58615404063e-07,8.15656066328e-09,1.92677880712e-11,3.59064449113e-07,2.08425577628e-09,5.33980563719e-09,1.77816392224e-08,2.1360364891e-09,1.637394025e-08,9.22032391218e-05,1.15826877643e-09,9.40947294446e-10,1.35588781203e-06
13,1.6353383143e-07,3.50437363366e-07,1.83914135731e-09,8.58856884388e-09,1.09083487154e-07,4.00878013127e-09,1.0412168907e-07,1.56641163191e-09,5.18527744584e-06,3.05650941502e-07,1.67180942735e-08,2.91741358036e-05,2.50510959457e-07,1.72771828335e-06,0.99987022121,4.2463222878e-09,3.19489872741e-06,2.00834754262e-06,2.19988634307e-08,9.42689432555e-10,5.08803389306e-06,6.27624077151e-09,5.20368351311e-08,1.16830236877e-10,2.40424749199e-09,4.64586093986e-09,5.95527865849e-05,2.53670909119e-09,5.68220634104e-09,3.73553912272e-11,1.32772667264e-10,2.79328303748e-11,8.65313912641e-09,3.74396736759e-08,6.50575262866e-10,1.18205665106e-08,2.3352140316e-09,1.42659730221e-11,2.14086894136e-09,1.16858803361e-11,4.50930381785e-11,2.28101186315e-09,2.42449832678e-09,1.2989874511e-08,1.79160500638e-09,2.19359162372e-09,1.88510880741e-08,5.64154025876e-08,3.91610313582e-06,3.87760571565e-06,4.49620379885e-10,1.90034108247e-09,1.04879082942e-07,1.12052577143e-08,1.882137527e-08,3.69246596402e-11,5.08609782817e-11,2.99653970308e-10,2.27286419443e-09,1.38163957239e-08,6.97233531615e-09,5.23981976672e-09,4.21260226276e-09,3.62486658039e-08,3.20328756238e-09,1.01817478191e-09,1.27106120629e-08,6.28589262596e-12,1.53773212578e-11,4.76932908196e-10,1.74153750166e-10,1.88607616779e-08,3.22907364196e-10,6.80699958761e-09,4.59501028336e-08,4.68275389568e-09,6.95094266221e-11,1.15342336143e-08,9.0210457313e-09,5.32306613794e-06,4.78755957645e-08,2.32521253346e-10,4.50259939138e-10,1.03230327593e-07,2.57368108887e-08,1.60134731632e-09,4.52507568925e-10,3.35766671552e-11,8.15727651116e-10,8.36001468753e-08,3.01475019261e-10,1.27440748352e-06,2.61263816724e-08,2.64972148616e-07,2.88320732032e-06,4.06567712311e-06,1.99814346268e-08,1.56311601886e-08,1.80221869498e-08
16,1.1756957486e-06,1.436485759e-07,4.7897816971e-07,0.999767563902,3.65737810478e-08,1.08082502394e-08,1.05134375406e-06,6.37072445388e-06,1.45170155662e-06,2.12120773457e-08,6.82584655544e-07,3.53829114933e-08,1.08881346433e-06,8.9261077691e-08,1.38767071993e-07,3.17585792937e-08,2.86805960606e-08,2.67372429408e-06,1.4036587006e-07,1.06847500716e-06,2.1056534378e-07,4.34766769205e-06,6.86822628375e-08,2.46734666561e-09,2.74265566921e-07,4.43615823127e-07,5.93743938349e-07,1.04968250476e-07,7.03879900012e-07,4.77300963766e-10,5.30146735616e-07,6.40487830019e-08,6.14908046493e-07,4.09647333305e-08,3.28016963731e-07,3.2463109552e-08,6.95941248522e-07,1.25337249395e-08,3.44113857914e-07,5.01065549967e-08,4.96480364761e-07,1.95046827189e-06,9.01107885311e-07,5.0569059198e-05,2.31441812841e-07,5.02036131971e-06,6.45800176012e-08,1.05115895176e-07,3.13433740603e-09,1.36123962978e-07,2.27704606356e-06,7.00283347965e-08,1.13854688045e-05,2.71291700799e-08,6.70769308306e-09,8.10040828354e-08,5.21977215495e-10,8.1381098298e-07,8.81256401729e-07,8.27923002884e-07,4.35355544193e-06,1.09705622301e-07,7.08951794572e-07,5.77047940995e-07,1.82219111413e-09,2.23002740673e-07,6.83764224433e-08,2.0815125005e-07,2.32301792437e-07,4.36040517416e-07,1.8682780498e-10,1.19674756502e-07,7.42754109324e-09,4.11082093272e-07,8.3915120774e-11,1.06862922848e-07,2.28281101802e-07,1.03582101194e-07,2.42504680453e-09,2.64477064483e-07,1.52917898652e-09,3.09753629241e-06,1.11724320613e-07,1.17983220879e-06,1.36441636993e-07,2.92880884819e-06,0.000100458004199,4.8015888803e-08,1.29852505545e-09,1.72426901446e-06,2.00689371189e-06,1.55458426856e-07,1.16412185597e-06,2.4402254252e-08,3.59798840318e-06,8.33445741831e-07,1.53995301886e-06,1.97486256477e-06,1.25762604388e-06
19,3.01205924528e-07,2.78591049129e-07,1.1426946315e-07,0.999963917371,4.41696789817e-09,2.6434216185e-09,2.63780544561e-07,6.90696080404e-08,3.215336245e-07,7.16570498361e-09,9.44552809297e-08,2.54910748978e-09,1.3592930646e-06,2.30554737544e-09,5.5038353803e-08,1.34643025103e-08,3.77219290601e-08,2.24842831521e-07,1.25720112506e-08,2.01042105821e-07,9.17616030228e-08,6.72700875782e-07,2.600041549e-09,1.44751845803e-09,4.6426795335e-08,2.38145948691e-07,2.12280994632e-07,1.16498169577e-08,1.08952412893e-07,2.73194440356e-10,7.15466148308e-08,1.70732235005e-08,8.96388128862e-07,1.64202227801e-09,7.13717317441e-08,3.39297482351e-09,1.55092152973e-07,1.32687338079e-08,1.03864130066e-07,1.2784132875e-08,1.05864888398e-08,8.49494776702e-08,1.33438926998e-07,1.5466193132e-06,3.08763110451e-08,1.15210079736e-05,6.17312128469e-08,1.58058678651e-08,1.14514369132e-09,5.14712081673e-09,2.5506789953e-06,6.49992062018e-08,5.37869780691e-07,2.25627250442e-08,1.24836595244e-09,1.64736767269e-08,2.02600582641e-09,1.96137877353e-08,4.37384864191e-08,6.33496901125e-08,2.93474513074e-06,7.70341495581e-08,2.99596989064e-08,1.02421910198e-07,1.00261453263e-08,1.17866607276e-06,1.6469793463e-08,4.45709781063e-09,2.24066409507e-07,8.88159375181e-08,2.93503640353e-11,1.08331762985e-08,1.3764491385e-09,2.0679922358e-08,3.15337547348e-11,1.25897876642e-08,4.26000965321e-07,8.73174635833e-09,3.07423517717e-10,8.85338419243e-08,1.01784132606e-09,1.42780350503e-06,1.02052761909e-08,4.54477902947e-08,1.43888395763e-07,5.16777030331e-07,1.06624381243e-07,1.36572402841e-07,1.93161065204e-11,1.00703255204e-07,2.97813661989e-07,5.82784056901e-08,2.166392052e-07,1.4636550678e-09,1.19740737209e-06,1.16709137068e-08,1.03136029088e-06,3.73778692571e-08,2.67328902953e-06
23,3.11920769301e-08,1.70311341748e-07,9.81039227754e-07,1.30681527378e-06,1.2345862635e-07,0.000538349814401,2.56756126789e-06,4.96004787564e-08,6.18541377399e-10,4.67500603598e-08,3.9208012419e-09,4.51943733019e-08,7.36870438458e-08,4.80301050692e-09,8.26370314054e-09,8.40352378262e-06,5.51076451634e-09,1.15346610821e-08,1.49819279559e-07,6.94943417684e-08,9.00403690071e-07,6.32318865374e-08,1.25386700777e-07,1.32342749988e-06,1.14063318909e-06,1.06938969594e-07,2.66761924333e-08,3.31925996977e-08,0.999117990967,0.000264571180638,5.79206101736e-06,7.88016497329e-10,2.68795409341e-06,5.22372044955e-08,2.15145845035e-07,2.57379537549e-07,1.70455166892e-08,1.50902595067e-06,3.61990979794e-08,8.32411249977e-07,1.08719778839e-08,1.11755292471e-09,2.46936217617e-06,1.45649783792e-07,8.16037490446e-08,4.30773898219e-08,1.53480686184e-09,6.31205024854e-09,6.32790362529e-11,9.60393781265e-09,7.35460538796e-08,4.35541916865e-07,4.08008092583e-08,4.54051913946e-09,9.07829583708e-08,2.72537171895e-05,4.10613310417e-07,7.85070409099e-08,1.84574250845e-10,2.25761602899e-08,9.55815178865e-07,2.04420448688e-07,1.01136588637e-07,3.25360408416e-08,4.99655482165e-09,1.09333156791e-06,3.11028843129e-07,7.06726577818e-08,1.16474847389e-08,2.13448090201e-06,2.78439385508e-06,3.705912034e-06,1.02655312613e-07,3.5448135439e-07,6.34167853849e-11,2.38760816957e-10,3.33874327816e-07,1.49578521581e-08,1.65447565762e-09,1.27785797394e-06,4.50894242533e-07,1.1845884107e-06,5.9060832484e-10,4.09499611957e-10,8.86409238804e-07,7.774690934e-09,6.52315290078e-09,8.1042068371e-07,4.32124715551e-09,9.04030502327e-08,1.655680434e-07,1.91302122023e-08,5.59301556756e-08,2.60548587662e-08,5.37856571644e-09,4.29926154805e-10,1.02472470959e-07,2.34594936463e-08,1.39787944338e-06
24,3.18572420505e-07,6.16713766521e-08,1.65827574114e-08,5.70001058191e-10,5.94861434323e-09,2.43536913737e-07,1.57780852651e-09,7.25010853642e-11,1.23460050691e-07,2.25849092352e-09,3.3422415866e-09,3.23062983257e-10,2.18224166182e-10,3.84897060588e-10,5.85033680363e-10,5.9273423117e-09,7.03548223902e-08,2.01935157993e-09,1.79834061821e-10,1.04044030327e-09,2.42977296609e-07,2.91367712141e-09,1.55146510266e-13,6.10310282263e-10,8.41447571772e-13,1.12794111626e-09,5.21529044906e-08,1.44738152175e-09,5.82957606828e-11,1.8670172655e-10,8.73314270873e-13,7.21888437523e-07,9.58817752143e-08,2.12854260268e-08,3.31659618622e-09,1.31525047158e-10,6.67780382005e-10,5.80452648063e-09,4.75955928137e-08,1.20605443947e-08,4.92716371401e-10,3.55585339177e-10,6.11057914855e-09,2.6034551464e-10,9.89812510872e-09,2.01662261145e-08,4.12902294609e-12,4.39295286776e-10,3.02360176286e-12,4.11175311421e-08,1.53655383368e-09,7.73928029665e-08,7.55189111783e-12,7.94423633487e-13,1.11060614679e-08,1.01141478898e-09,3.19177159374e-10,3.29937561363e-10,2.03446029689e-08,2.25814472177e-06,9.24860012122e-09,3.1271334784e-10,5.3673707606e-11,3.24193503313e-11,3.63621072437e-10,1.23449357353e-09,4.53540160833e-10,1.75601556266e-12,1.35033847299e-09,5.25108105835e-06,3.87039713613e-11,1.53039527151e-10,2.19423268801e-07,5.44541897961e-12,8.98392418726e-09,4.51678840169e-10,2.63180809854e-11,3.48047408805e-08,3.08454041214e-08,2.06995500207e-08,5.39062926088e-11,2.17265478862e-10,4.65792061923e-10,5.08528267501e-08,0.999989762747,4.76981181309e-10,5.85019101871e-12,1.81839651485e-09,7.98275395295e-11,1.21183854022e-08,9.18955400075e-10,6.67875057936e-11,4.68418921153e-11,1.90064531127e-11,7.19865496326e-08,2.28451861336e-10,1.3327800616e-11,1.29362048141e-10,4.14276134541e-10
28,5.81775882618e-07,1.39523588252e-06,3.47791013136e-09,1.51584934505e-06,2.29348769243e-08,4.225694335e-09,3.00059256417e-07,1.1829304346e-05,0.999972653901,5.18278634137e-08,6.96809718e-07,5.4542232518e-07,3.74032352299e-06,8.54989034092e-08,2.39987505159e-07,2.06977114582e-08,2.76147010096e-07,3.01161877401e-07,8.01733466268e-09,1.34940429561e-06,2.40552230952e-08,1.08653851883e-09,1.77964234883e-09,4.80361138337e-11,1.03574190459e-10,4.67492092029e-09,2.340782698e-07,1.8893499501e-10,6.71193311298e-10,3.98345676039e-13,1.0288834652e-11,2.06665953224e-08,2.72331810385e-07,2.44622815301e-07,5.98214665307e-10,1.78381097466e-07,8.40723588265e-08,8.43834216436e-09,3.74063928362e-11,3.58412038545e-09,3.08735052538e-10,1.11789554977e-07,1.61345098792e-09,9.28489927634e-11,3.1403098084e-08,3.85392988386e-09,1.12293434511e-08,2.03547241001e-09,1.29802751327e-07,5.86974531393e-09,2.20366560821e-10,4.74611688061e-10,4.17441289062e-09,4.72023428657e-09,4.56382262976e-08,8.12359848123e-08,1.21492114228e-10,8.33960222061e-11,2.50371122126e-09,7.39616071198e-10,5.76145622864e-09,1.329793701e-09,1.26022795733e-08,4.36320862109e-08,6.37190562085e-09,1.4726741334e-08,7.29845892784e-09,7.73965433919e-11,2.48554668043e-10,1.77749600583e-09,7.85559589212e-10,1.54310473104e-09,2.53972686046e-10,1.65379853038e-08,3.17865536975e-09,1.91151809443e-09,1.5811509434e-09,2.6617060574e-09,8.34249255848e-08,4.28062498563e-08,6.15518364429e-08,5.87929397667e-10,9.69983399143e-09,1.26108859974e-07,3.58656617026e-07,1.23925390195e-08,7.40141426147e-09,7.48083433167e-11,3.17062675158e-11,2.4276529194e-07,6.57805835697e-10,3.43108424179e-07,4.74840866266e-07,3.06406105142e-07,4.54441001797e-07,2.01496543276e-07,8.68014992804e-10,2.98510124409e-10,1.06982330855e-08
